Date,Close
2018-09-07,3030
2018-09-10,2970
2018-09-12,2910
2018-09-13,3000
2018-09-14,3070
2018-09-17,2970
2018-09-18,2940
2018-09-19,3000
2018-09-20,3090
2018-09-21,3120
2018-09-24,3010
2018-09-25,3030
2018-09-26,2990
2018-09-27,3070
2018-09-28,3150
2018-10-01,3180
2018-10-02,3110
2018-10-03,3100
2018-10-04,3000
2018-10-05,2980
2018-10-08,2970
2018-10-09,3020
2018-10-10,3010
2018-10-11,2910
2018-10-12,2950
2018-10-15,3000
2018-10-16,3000
2018-10-17,3070
2018-10-18,3090
2018-10-19,3020
2018-10-22,3050
2018-10-23,3020
2018-10-24,2950
2018-10-25,3000
2018-10-26,2990
2018-10-29,2950
2018-10-30,3030
2018-10-31,3150
2018-11-01,3200
2018-11-02,3280
2018-11-05,3270
2018-11-06,3330
2018-11-07,3370
2018-11-08,3450
2018-11-09,3340
2018-11-12,3280
2018-11-13,3350
2018-11-14,3350
2018-11-15,3410
2018-11-16,3490
2018-11-19,3520
2018-11-21,3430
2018-11-22,3550
2018-11-23,3480
2018-11-26,3540
2018-11-27,3600
2018-11-28,3650
2018-11-29,3710
2018-11-30,3620
2018-12-03,3690
2018-12-04,3710
2018-12-05,3650
2018-12-06,3650
2018-12-07,3620
2018-12-10,3610
2018-12-11,3620
2018-12-12,3620
2018-12-13,3680
2018-12-14,3680
2018-12-17,3600
2018-12-18,3630
2018-12-19,3670
2018-12-20,3650
2018-12-21,3620
2018-12-26,3600
2018-12-27,3660
2018-12-28,3660
2019-01-02,3610
2019-01-03,3620
2019-01-04,3660
2019-01-07,3660
2019-01-08,3680
2019-01-09,3720
2019-01-10,3750
2019-01-11,3730
2019-01-14,3790
2019-01-15,3780
2019-01-16,3780
2019-01-17,3810
2019-01-18,3820
2019-01-21,3800
2019-01-22,3770
2019-01-23,3770
2019-01-24,3790
2019-01-25,3780
2019-01-28,3780
2019-01-29,3690
2019-01-30,3750
2019-01-31,3850
2019-02-01,3920
2019-02-04,3900
2019-02-06,3920
2019-02-07,3930
2019-02-08,3890
2019-02-11,3870
2019-02-12,3850
2019-02-13,3790
2019-02-14,3800
2019-02-15,3770
2019-02-18,3840
2019-02-19,3910
2019-02-20,3890
2019-02-21,3910
2019-02-22,3900
2019-02-25,3960
2019-02-26,3940
2019-02-27,3870
2019-02-28,3850
2019-03-01,3870
2019-03-04,3880
2019-03-05,3860
2019-03-06,3900
2019-03-08,3850
2019-03-11,3850
2019-03-12,3830
2019-03-13,3800
2019-03-14,3870
2019-03-15,3980
2019-03-18,4040
2019-03-19,3990
2019-03-20,3980
2019-03-21,3980
2019-03-22,4060
2019-03-25,4000
2019-03-26,4060
2019-03-27,4040
2019-03-28,4100
2019-03-29,4120
2019-04-01,4140
2019-04-02,4150
2019-04-04,4220
2019-04-05,4260
2019-04-08,4290
2019-04-09,4310
2019-04-10,4320
2019-04-11,4300
2019-04-12,4310
2019-04-15,4350
2019-04-16,4340
2019-04-18,4460
2019-04-22,4440
2019-04-23,4430
2019-04-24,4400
2019-04-25,4330
